Sample in Buffer,Sample in Window,TRIGGER,dbg_sd_clk_o,dbg_sd_cmd_en_o,dbg_sd_cmd_i,dbg_sd_dat_en_o,dbg_sd_dat_i[3:0],i_croc_soc/i_croc/i_adc_acquisition_top/dbg_adc_clk,i_croc_soc/i_croc/i_adc_acquisition_top/dbg_adc_data[13:0],i_croc_soc/i_croc/i_adc_acquisition_top/dbg_adc_data_word[31:0],i_croc_soc/i_croc/i_adc_acquisition_top/dbg_dma_address[31:0],i_croc_soc/i_croc/i_adc_acquisition_top/dbg_dma_data[31:0],i_croc_soc/i_croc/i_adc_acquisition_top/dbg_dma_push,i_croc_soc/i_croc/i_adc_acquisition_top/dbg_mode[7:0],i_croc_soc/i_croc/i_adc_acquisition_top/dbg_mode_active,i_croc_soc/i_croc/i_adc_acquisition_top/dbg_status[4:0],i_croc_soc/i_croc/i_adc_acquisition_top/dbg_write_head[29:0],i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_autocmd_wrap/i_cmd_logic/cmd_state_d[2:0],i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_autocmd_wrap/i_cmd_logic/cmd_state_q[2:0],i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/buffer_empty,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/buffer_read_ready,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/buffer_read_valid,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/buffer_write_ready,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/buffer_write_valid,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/busy_state_d[2:0],i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/busy_state_q[2:0],i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/busy_waiting,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/cmd_data_present_i,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/cmd_started_i,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/cmd_transfer_direction_i,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/dat_i[3:0],i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/dat_state_d[1:0],i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/dat_state_q[1:0],i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/i_dat_buffer/accepts_data_port_chunk,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/i_dat_buffer/current_word_counter_d[9:0],i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/i_dat_buffer/current_word_counter_q[9:0],i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/i_dat_buffer/enable_reg,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/i_dat_buffer/read_operation_i,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/i_dat_buffer/reg_empty,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/i_dat_buffer/reg_full,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/i_dat_buffer/reg_length[8:0],i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/i_dat_buffer/reg_pop,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/i_dat_buffer/reg_push,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/i_dat_buffer/single_block_done_d,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/i_dat_buffer/single_block_done_q,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/i_dat_buffer/write_operation_i,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/pause_sd_clk_read,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/pause_sd_clk_write,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/read_state_d[2:0],i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/read_state_q[2:0],i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/read_waiting,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/run_timeout_clock,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/sd_cmd_done_i,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/sd_rsp_done_i,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/timeout_elapsed,i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/write_state_d[2:0],i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/write_state_q[2:0],i_croc_soc/i_croc/i_sdhci_top_obi/i_sdhci_impl/i_dat_wrap/write_waiting,vio_gpio,vio_reset
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,1,0,1,0,f,1,06d2,06cf06ce,10002000,06cf06ce,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,1,0,f,0,06d2,06cf06ce,10002000,06cf06ce,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,1,0,1,0,f,1,06d2,06cf06ce,10002000,06cf06ce,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,0,0,0,1,0,f,1,06d3,06d106d0,10002000,06d106d0,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,0,1,0,1,0,f,0,06d3,06d106d0,10002000,06d106d0,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,0,0,0,1,0,f,1,06d4,06d106d0,10002000,06d106d0,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,0,1,0,1,0,f,0,06d4,06d106d0,10002000,06d106d0,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,0,0,0,1,0,f,1,06d5,06d106d0,10002000,06d106d0,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,0,1,0,1,0,f,0,06d5,06d306d2,10002000,06d306d2,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,0,0,0,1,0,f,1,06d7,06d306d2,10002000,06d306d2,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,0,1,0,1,0,f,0,06d6,06d306d2,10002000,06d306d2,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,0,0,0,1,0,f,0,06d6,06d306d2,10002000,06d306d2,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,0,1,0,1,0,f,1,06d7,06d506d4,10002000,06d506d4,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,0,0,0,1,0,f,0,06d7,06d506d4,10002000,06d506d4,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,0,1,0,1,0,f,1,06d8,06d506d4,10002000,06d506d4,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,0,0,0,1,0,f,0,06d8,06d506d4,10002000,06d506d4,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,0,1,0,1,0,f,1,06d9,06d506d4,10002000,06d506d4,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17,0,0,0,1,0,f,0,06d9,06d706d6,10002000,06d706d6,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,0,1,0,1,0,f,0,06d9,06d706d6,10002000,06d706d6,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19,0,0,0,1,0,f,1,06da,06d706d6,10002000,06d706d6,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20,0,1,0,1,0,f,0,06da,06d706d6,10002000,06d706d6,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21,0,0,0,1,0,f,1,06db,06d706d6,10002000,06d706d6,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,22,0,1,0,1,0,f,0,06db,06d906d8,10002000,06d906d8,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,23,0,0,0,1,0,f,1,06dc,06d906d8,10002000,06d906d8,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,24,0,1,0,1,0,f,0,06dc,06d906d8,10002000,06d906d8,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,0,0,0,1,0,f,0,06dc,06d906d8,10002000,06d906d8,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26,0,1,0,1,0,f,1,06dd,06db06da,10002000,06db06da,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,27,0,0,0,1,0,f,0,06dd,06db06da,10002000,06db06da,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,28,0,1,0,1,0,f,1,06de,06db06da,10002000,06db06da,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,29,0,0,0,1,0,f,0,06de,06db06da,10002000,06db06da,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,30,0,1,0,1,0,f,1,06df,06db06da,10002000,06db06da,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,31,0,0,0,1,0,f,0,06df,06dd06dc,10002000,06dd06dc,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,32,0,1,0,1,0,f,0,06df,06dd06dc,10002000,06dd06dc,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,33,0,0,0,1,0,f,1,06e0,06dd06dc,10002000,06dd06dc,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,34,0,1,0,1,0,f,0,06e0,06dd06dc,10002000,06dd06dc,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,35,0,0,0,1,0,f,1,06e1,06dd06dc,10002000,06dd06dc,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,36,0,1,0,1,0,f,0,06e1,06df06de,10002000,06df06de,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,37,0,0,0,1,0,f,1,06e2,06df06de,10002000,06df06de,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,38,0,1,0,1,0,f,0,06e2,06df06de,10002000,06df06de,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,39,0,0,0,1,0,f,0,06e2,06df06de,10002000,06df06de,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,40,0,1,0,1,0,f,1,06e3,06e106e0,10002000,06e106e0,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,41,0,0,0,1,0,f,0,06e3,06e106e0,10002000,06e106e0,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,42,0,1,0,1,0,f,1,06e4,06e106e0,10002000,06e106e0,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,43,0,0,0,1,0,f,0,06e4,06e106e0,10002000,06e106e0,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,44,0,1,0,1,0,f,1,06e5,06e106e0,10002000,06e106e0,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,45,0,0,0,1,0,f,0,06e5,06e306e2,10002000,06e306e2,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,46,0,1,0,1,0,f,0,06e5,06e306e2,10002000,06e306e2,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,47,0,0,0,1,0,f,1,06e6,06e306e2,10002000,06e306e2,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,48,0,1,0,1,0,f,0,06e6,06e306e2,10002000,06e306e2,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,49,0,0,0,1,0,f,1,06e7,06e306e2,10002000,06e306e2,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,50,0,1,0,1,0,f,0,06e7,06e506e4,10002000,06e506e4,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,51,0,0,0,1,0,f,1,06e8,06e506e4,10002000,06e506e4,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,52,0,1,0,1,0,f,0,06e8,06e506e4,10002000,06e506e4,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,53,0,0,0,1,0,f,0,06e8,06e506e4,10002000,06e506e4,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,54,0,1,0,1,0,f,1,06e9,06e706e6,10002000,06e706e6,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,55,0,0,0,1,0,f,0,06e9,06e706e6,10002000,06e706e6,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,56,0,1,0,1,0,f,1,06ea,06e706e6,10002000,06e706e6,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,57,0,0,0,1,0,f,0,06ea,06e706e6,10002000,06e706e6,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,58,0,1,0,1,0,f,1,06eb,06e706e6,10002000,06e706e6,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,59,0,0,0,1,0,f,0,06eb,06e906e8,10002000,06e906e8,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,60,0,1,0,1,0,f,0,06eb,06e906e8,10002000,06e906e8,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,61,0,0,0,1,0,f,1,06ec,06e906e8,10002000,06e906e8,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,62,0,1,0,1,0,f,0,06ec,06e906e8,10002000,06e906e8,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,63,0,0,0,1,0,f,1,06ed,06e906e8,10002000,06e906e8,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,64,0,1,0,1,0,f,0,06ed,06eb06ea,10002000,06eb06ea,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,65,0,0,0,1,0,f,1,06ee,06eb06ea,10002000,06eb06ea,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,66,0,1,0,1,0,f,0,06ee,06eb06ea,10002000,06eb06ea,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,67,0,0,0,1,0,f,1,06ee,06eb06ea,10002000,06eb06ea,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,68,0,1,0,1,0,f,1,06ef,06ed06ec,10002000,06ed06ec,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,69,0,0,0,1,0,f,0,06ef,06ed06ec,10002000,06ed06ec,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,70,0,1,0,1,0,f,1,06f0,06ed06ec,10002000,06ed06ec,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,71,0,0,0,1,0,f,0,06f0,06ed06ec,10002000,06ed06ec,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,72,0,1,0,1,0,f,1,06f1,06ed06ec,10002000,06ed06ec,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,73,0,0,0,1,0,f,0,06f1,06ef06ee,10002000,06ef06ee,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,74,0,1,0,1,0,f,1,06f3,06ef06ee,10002000,06ef06ee,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,75,0,0,0,1,0,f,0,06f2,06ef06ee,10002000,06ef06ee,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,76,0,1,0,1,0,f,0,06f2,06ef06ee,10002000,06ef06ee,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,77,0,0,0,1,0,f,1,06f3,06f106f0,10002000,06f106f0,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,78,0,1,0,1,0,f,0,06f3,06f106f0,10002000,06f106f0,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,79,0,0,0,1,0,f,1,06f4,06f106f0,10002000,06f106f0,0,00,0,00,04000800,0,0,1,0,0,0,0,0,0,0,1,0,0,f,0,0,0,000,000,0,0,1,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
